0000000058,0000031667,001679,-00314,-01363,-00083,000070,000007,-00010
0000000059,0000032222,001547,-00018,-01523,-00090,000060,000024,-00010
0000000060,0000032778,001363,000288,-01640,-00093,000047,000039,-00009
0000000061,0000033333,001142,000580,-01712,-00093,000035,000051,-00007
0000000062,0000033889,000893,000868,-01737,-00088,000020,000061,-00006
0000000063,0000034444,000620,001136,-01737,-00082,000005,000070,-00004
0000000064,0000035000,000337,001355,-01666,-00072,-00013,000079,-00004
0000000065,0000035556,000039,001521,-01534,-00062,-00030,000087,-00002
0000000066,0000036111,-00273,001647,-01343,-00049,-00045,000091,-00002
0000000067,0000036667,-00565,001719,-01115,-00035,-00058,000091,000000
0000000068,0000037222,-00844,001742,-00865,-00020,-00066,000087,000002
0000000069,0000037778,-01113,001742,-00596,-00004,-00075,000080,000002
0000000070,0000038333,-01330,001673,-00309,000013,-00082,000072,000004
0000000071,0000038889,-01499,001542,-00010,000030,-00088,000063,000004
0000000072,0000039444,-01629,001353,000301,000046,-00091,000053,000004
0000000073,0000040000,-01708,001128,000600,000058,-00091,000041,000005
0000000074,0000040556,-01742,000876,000887,000068,-00086,000027,000005
0000000075,0000041111,-01742,000597,001152,000075,-00078,000011,000005
0000000076,0000041667,-01680,000314,001365,000084,-00068,-00007,000004
0000000077,0000042222,-01549,000018,001525,000090,-00057,-00024,000004
0000000078,0000042778,-01365,-00293,001643,000093,-00045,-00039,000003
0000000079,0000043333,-01142,-00583,001716,000093,-00032,-00050,000001
0000000080,0000043889,-00891,-00868,001741,000088,-00018,-00060,000000
0000000081,0000044444,-00621,-01134,001741,000082,-00003,-00070,-00001
0000000082,0000045000,-00336,-01355,001672,000072,000015,-00079,-00002
0000000083,0000045556,-00038,-01518,001536,000062,000032,-00086,-00003
0000000084,0000046111,000272,-01645,001346,000049,000047,-00091,-00004
0000000085,0000046667,000565,-01717,001123,000035,000059,-00091,-00006
0000000086,0000047222,000847,-01743,000871,000020,000068,-00087,-00007
0000000087,0000047778,001113,-01743,000599,000004,000077,-00080,-00008
0000000088,0000048333,001331,-01676,000315,-00013,000085,-00072,-00010
0000000089,0000048889,001500,-01541,000012,-00030,000091,-00063,-00010
0000000090,0000049444,001630,-01352,-00298,-00046,000094,-00053,-00010
0000000091,0000050000,001709,-01130,-00597,-00058,000094,-00041,-00011
0000000092,0000050556,001741,-00874,-00884,-00067,000088,-00027,-00011
0000000093,0000051111,001741,-00599,-01147,-00075,000080,-00011,-00011
0000000094,0000051667,001678,-00313,-01362,-00084,000069,000007,-00010
0000000095,0000052222,001551,-00019,-01523,-00090,000059,000023,-00010
0000000096,0000052778,001363,000292,-01640,-00093,000048,000038,-00008
0000000097,0000053333,001143,000581,-01710,-00093,000035,000051,-00007
0000000098,0000053889,000893,000865,-01738,-00088,000021,000061,-00006
